Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més,Total. Total,Homes. Total,Dones. Total,P Total. De 0 a 14 anys,P Total. De 15 a 64 anys,P Total. 65 anys o més,P Homes. De 0 a 14 anys,P Homes. De 15 a 64 anys,P Homes. 65 anys o més,P Dones. De 0 a 14 anys,P Dones. De 15 a 64 anys,P Dones. 65 anys o més
17008,Anglès,476,1903,471,457,1795,607,933,3698,1078,5709,2850,2859,0.16342616920651604,0.6477491679803818,0.18882466281310212,0.16701754385964912,0.667719298245614,0.16526315789473683,0.15984610003497726,0.627841902763204,0.21231199720181881
25027,Anglesola,106,436,144,118,382,170,224,818,314,1356,686,670,0.16519174041297935,0.6032448377581121,0.23156342182890854,0.15451895043731778,0.6355685131195336,0.2099125364431487,0.1761194029850746,0.5701492537313433,0.2537313432835821
25029,Arbeca,123,728,263,116,613,298,239,1341,561,2141,1114,1027,0.11163007940214853,0.6263428304530593,0.26202709014479214,0.11041292639138241,0.6535008976660682,0.23608617594254938,0.11295034079844206,0.5968841285296982,0.2901655306718598
43016,"Arboç, l'",514,1964,408,504,1735,500,1018,3699,908,5625,2886,2739,0.18097777777777777,0.6576,0.16142222222222222,0.1781011781011781,0.6805266805266805,0.14137214137214138,0.18400876232201532,0.633442862358525,0.18254837531945967
43015,Arbolí,5,59,12,4,32,14,9,91,26,126,76,50,0.07142857142857142,0.7222222222222222,0.20634920634920634,0.06578947368421052,0.7763157894736842,0.15789473684210525,0.08,0.64,0.28
17009,Arbúcies,532,2252,571,521,1973,658,1053,4225,1229,6507,3355,3152,0.16182572614107885,0.6493007530351929,0.1888735208237283,0.1585692995529061,0.67123695976155,0.17019374068554396,0.16529187817258884,0.6259517766497462,0.20875634517766498
8006,Arenys de Mar,1124,5186,1439,1047,5070,2076,2171,10256,3515,15942,7749,8193,0.13618115669301217,0.6433320787855978,0.22048676452139004,0.145050974319267,0.669247644857401,0.18570138082333204,0.1277920175759795,0.6188209447088978,0.25338703771512266
8007,Arenys de Munt,760,3155,734,619,3050,873,1379,6205,1607,9191,4649,4542,0.15003808073115005,0.6751169622456751,0.17484495702317485,0.16347601634760164,0.6786405678640568,0.15788341578834159,0.13628357551739323,0.6715103478643769,0.19220607661822986
17010,Argelaguer,25,141,46,23,135,47,48,276,93,417,212,205,0.11510791366906475,0.6618705035971223,0.22302158273381295,0.1179245283018868,0.6650943396226415,0.2169811320754717,0.11219512195121951,0.6585365853658537,0.22926829268292684
8008,Argençola,13,82,19,17,68,21,30,150,40,220,114,106,0.13636363636363635,0.6818181818181818,0.18181818181818182,0.11403508771929824,0.7192982456140351,0.16666666666666666,0.16037735849056603,0.6415094339622641,0.19811320754716982
