MUNICIPI_CODI,"('No vacunat', 1, 'Total')","('No vacunat', 2, 'Total')","('No vacunat', 3, 'Total')","('vacunat', 1, 'Total')","('vacunat', 2, 'Total')","('vacunat', 3, 'Total')",Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més,Total. Total,Homes. Total,Dones. Total,P Total. De 0 a 14 anys,P Total. De 15 a 64 anys,P Total. 65 anys o més,P Homes. De 0 a 14 anys,P Homes. De 15 a 64 anys,P Homes. 65 anys o més,P Dones. De 0 a 14 anys,P Dones. De 15 a 64 anys,P Dones. 65 anys o més
17035,0.016100178890876567,0.005928853754940711,0.010452961672473868,0.9838998211091234,0.9940711462450593,0.9895470383275261,Camós,53.0,225.0,76.0,43.0,211.0,103.0,96.0,436.0,179.0,711.0,354.0,357.0,0.1350210970464135,0.6132208157524613,0.2517580872011252,0.1497175141242938,0.635593220338983,0.21468926553672316,0.12044817927170869,0.5910364145658263,0.28851540616246496
17036,0.007383966244725738,0.005303030303030303,0.008647313156269302,0.9926160337552743,0.9946969696969697,0.9913526868437307,Campdevànol,200.0,993.0,374.0,196.0,964.0,498.0,396.0,1957.0,872.0,3225.0,1567.0,1658.0,0.12279069767441861,0.6068217054263566,0.2703875968992248,0.1276324186343331,0.6336949585194639,0.23867262284620294,0.11821471652593486,0.5814234016887817,0.30036188178528345
17038,0.03233256351039261,0.015544041450777202,0.028846153846153848,0.9676674364896074,0.9844559585492227,0.9711538461538461,Campllong,51.0,188.0,25.0,55.0,177.0,37.0,106.0,365.0,62.0,533.0,264.0,269.0,0.19887429643527205,0.6848030018761726,0.11632270168855535,0.19318181818181818,0.7121212121212122,0.0946969696969697,0.20446096654275092,0.6579925650557621,0.137546468401487
17039,0.0691333982473223,0.04312227074235808,0.06792777300085985,0.9308666017526777,0.9568777292576419,0.9320722269991402,Camprodon,154.0,752.0,287.0,142.0,750.0,350.0,296.0,1502.0,637.0,2435.0,1193.0,1242.0,0.1215605749486653,0.6168377823408624,0.26160164271047226,0.12908633696563285,0.6303436714165969,0.24056999161777032,0.1143317230273752,0.6038647342995169,0.28180354267310787
17040,0.06643952299829642,0.011560693641618497,0.020134228187919462,0.9335604770017035,0.9884393063583815,0.9798657718120806,Canet d'Adri,63.0,247.0,77.0,54.0,228.0,80.0,117.0,475.0,157.0,749.0,387.0,362.0,0.15620827770360482,0.6341789052069426,0.2096128170894526,0.16279069767441862,0.6382428940568475,0.19896640826873385,0.14917127071823205,0.6298342541436464,0.22099447513812154
17041,0.03614457831325301,0.017543859649122806,0.028169014084507043,0.963855421686747,0.9824561403508771,0.971830985915493,Cantallops,16.0,95.0,43.0,20.0,84.0,47.0,36.0,179.0,90.0,305.0,154.0,151.0,0.1180327868852459,0.5868852459016394,0.29508196721311475,0.1038961038961039,0.6168831168831169,0.2792207792207792,0.13245033112582782,0.5562913907284768,0.31125827814569534
17042,0.06858407079646017,0.017676767676767676,0.029045643153526972,0.9314159292035398,0.9823232323232324,0.970954356846473,Capmany,38.0,202.0,73.0,36.0,194.0,75.0,74.0,396.0,148.0,618.0,313.0,305.0,0.11974110032362459,0.6407766990291263,0.23948220064724918,0.12140575079872204,0.645367412140575,0.23322683706070288,0.1180327868852459,0.6360655737704918,0.2459016393442623
17044,0.022603362108132668,0.02660172349194455,0.04824462061155153,0.9773966378918674,0.9733982765080554,0.9517553793884485,Cassà de la Selva,906.0,3678.0,762.0,878.0,3308.0,973.0,1784.0,6986.0,1735.0,10505.0,5346.0,5159.0,0.1698238933841028,0.6650166587339362,0.16515944788196096,0.16947250280583614,0.6879910213243546,0.1425364758698092,0.17018802093428959,0.6412095367319248,0.18860244233378562
17046,0.04691358024691358,0.026499302649930265,0.04279279279279279,0.9530864197530864,0.9735006973500697,0.9572072072072072,Castellfollit de la Roca,74.0,306.0,106.0,49.0,271.0,133.0,123.0,577.0,239.0,939.0,486.0,453.0,0.13099041533546327,0.6144834930777423,0.25452609158679446,0.1522633744855967,0.6296296296296297,0.21810699588477367,0.10816777041942605,0.5982339955849889,0.293598233995585
17047,0.05061124694376528,0.016671336508826,0.03349282296650718,0.9493887530562347,0.983328663491174,0.9665071770334929,Castelló d'Empúries,862.0,3757.0,1010.0,854.0,3593.0,1078.0,1716.0,7350.0,2088.0,11154.0,5629.0,5525.0,0.15384615384615385,0.6589564281871975,0.18719741796664874,0.15313554805471666,0.6674364896073903,0.17942796233789304,0.15457013574660633,0.650316742081448,0.1951131221719457
